FULL_NAME,GRADE,SSAN,RECORD_STATUS,ASSIGNED_PAS,ASSIGNED_PAS_CLEARTEXT,OFFICE_SYMBOL,DUTY_TITLE,DUTY_START_DATE,DOR,DAFSC,CAFSC,PAFSC,2AFSC,3AFSC,4AFSC,DATE_ARRIVED_STATION,DUTY_PHONE,TAFMSD,DOE,DOS,DATE_OF_BIRTH,HOME_ADDRESS,HOME_CITY ,HOME_STATE,HOME_ZIP_CODE,SUPV_NAME,GRADE_PERM_PROJ,UIF_CODE,UIF_DISPOSITION_DATE,PROJ_EVAL_CLOSE_DATE,MARITAL_STATUS,RNLTD,GAINING_PAS,GAINING_PAS_CLEARTEXT,LAST_EVAL_RATING,LAST_EVAL_CLOSE_DATE,PERF_INDICATOR,SPOUSE_SSAN,SUPV_BEGIN_DATE,REENL_ELIG_STATUS,HOME_PHONE_NUMBER,AGE,DEROS,DEPLOY_ADMIN_STATUS,DEPLOY_ADMIN_STATUS_CLEARTEXT,DEPLOY_ADMIN_STOP_DATE,DEPLOY_LEGAL_STATUS,DEPLOY_LEGAL_STATUS_CLEARTEXT,DEPLOY_LEGAL_STOP_DATE,DEPLOY_PHYS_STATUS,DEPLOY_PHYS_STATUS_CLEARTEXT,DEPLOY_PHYS_STOP_DATE,DEPLOY_TIME_STATUS,DEPLOY_TIME_STATUS_CLEARTEXT,DEPLOY_TIME_STOP_DATE,AVAILABILITY_CODE,AVAILABILITY_CODE_CLEARTEXT,AVAILABILITY_DATE,AVAILABILITY_STATUS,AVAILABILITY_STATUS_CLEARTEXT,LIMITATION_CODE,LIMITATION_CODE_CLEARTEXT,LIMITATION_END_DATE,SEC_CLR,TYPE_SEC_INV,DT_SCTY_INVES_COMPL,SEC_ELIG_DT,TECH_ID,ACDU_STATUS,ANG_ROLL_INDICATOR,AFR_SECTION_ID,CIVILIAN_ART_ID,ATTACHED_PAS,FUNCTIONAL_CATEGORY
Brenn Duberry,TSG,159-84-8462,20,VQ1234,SQUADRONLRAFB,CYP,Desktop Support Technician,16-Jun-2022,18-Nov-2021,2M02S,17D,,,,,08-Nov-2019,901-139-8745,12-Mar-2017,24-Apr-2023,05-Feb-2023,05-Mar-2057,5 Bayside Road,Memphis,Tennessee,68828-167,Jeffy Blais,,,,20-Jun-2024,S,,,,A,20-Apr-2023,A,512-54-5483,05-Apr-2023,1J,419-135-7363,35,,,,,,,,,,,,,,44,DEPLOYABLE WITH LIMITATIONS,01-May-2024,,APPROVED,X,,15-Aug-2024,V,9,24-Jul-2019,15-Mar-2023,,,,,,,A
Humfrid Stockton,SP2,125-85-1536,10,NM1234,SQUADRONVSFB,CYCP,Nurse,15-Oct-2022,12-Jan-2020,2E274,2E274,,,,,15-Aug-2023,774-905-9469,12-Jul-2011,10-Apr-2023,28-Nov-2022,03-May-2015,446 Aberg Parkway,Worcester,Massachusetts,59148-002,Imogene Congreave,,,,28-May-2024,S,,,,L,02-May-2023,,159-84-8462,17-Nov-2022,3C,404-305-7710,48,,,,,,,,,,,,,,81,,,,APPROVED,X,APPROVED SRB,03-Jun-2024,V,7,10-Dec-2021,06-May-2023,,,,,,,A
Gisele Veracruysse,SMS,512-54-5483,20,VQ1234,SQUADRONVSFB,CYP,Social Worker,13-Jun-2022,31-Dec-2020,2E274,17D,,,,,20-Jan-2020,303-886-2541,25-Jan-2009,12-May-2023,18-Oct-2023,03-Dec-2014,70964 Ramsey Drive,Boulder,Colorado,68516-3201,Erena Arrundale,,,,27-Jul-2024,S,,,,Y,14-Oct-2023,A,512-54-5483,17-Sep-2023,1M,985-344-2149,48,,,,,,,,,,,,,,81,,,,APPROVED,X,,24-Jan-2024,V,9,10-Apr-2022,19-Sep-2023,,,,,,,A
Lauryn Hedgecock,SP3,512-54-5483,10,VQ1234,SQUADRONLRAFB,CYPR,Assistant Professor,07-Dec-2022,18-Jul-2020,2M02S,2E274,,,,,20-Jul-2022,469-628-5494,30-Oct-2010,04-May-2023,06-Dec-2022,13-Jun-2070,6 Bartillon Junction,Dallas,Texas,41520-092,Rachele Barthropp,,,,23-May-2024,M,,,,Y,24-Apr-2023,A,152-58-5486,20-Sep-2023,1J,509-813-5375,46,,,,,,,,,,,,,,,DEPLOYABLE WITH LIMITATIONS,,,,O,,13-Feb-2024,V,A,14-Nov-2020,11-Jan-2022,,,,,,,A
Inger Backes,MAJ,123-12-2456,20,NM1234,SQUADRONLRAFB,CYP,Senior Developer,02-Aug-2023,03-Dec-2020,2M02S,5C071,,,,,10-Dec-2021,304-521-7768,03-Jan-2001,07-Jan-2023,20-Jun-2023,18-Aug-2015,7596 Pleasure Place,Huntington,West Virginia,53489-510,Vin Doale,,,,29-Jan-2024,M,,,,Y,26-Mar-2023,A,159-84-8462,26-Apr-2023,1M,850-740-2786,25,,,,,,,,,,,,,,31,,13-Mar-2024,A,APPROVED,,,12-Oct-2024,V,5R,30-Sep-2019,27-Nov-2022,,,,,,,A
Mathian Kinnaird,CPT,512-54-5483,20,VQ1234,SQUADRONVSFB,CYC,Safety Technician IV,18-Sep-2021,20-Mar-2021,5C071,5C071,,,,,31-Jul-2020,432-553-8505,17-Nov-2002,09-Jul-2023,11-Nov-2023,09-Jan-2078,32871 Kropf Road,Midland,Texas,63347-301,Jeannette Mahon,,,,04-Mar-2024,S,,,,V,29-Nov-2022,A,512-54-5483,28-Oct-2023,1R,559-528-2447,26,,,,,,,,,,,,,,,,10-Sep-2024,,,,APPROVED SRB,28-May-2024,V,T5,30-Jul-2019,30-Jan-2023,,,,,,,A
Yoshiko Barbour,SP2,512-54-5483,20,VQ1234,SQUADRONVSFB,CYCP,Clinical Specialist,16-Aug-2021,20-Jun-2021,5C071,Z5C052,,,,,12-Aug-2020,434-966-5081,30-Aug-2017,21-Aug-2023,16-Aug-2023,12-Mar-2024,5 Maple Wood Center,Lynchburg,Virginia,51346-107,Balduin Kaveney,,,,03-Nov-2024,M,,VQ1234,,V,13-Mar-2023,A,125-85-1536,24-Jan-2023,3C,650-323-8813,26,,,,,,,,,,,,,,81,,05-Dec-2023,A,,,MED  ASSIGNMENT LIMITATION,13-Jan-2024,V,9,15-Mar-2020,14-Nov-2023,,,,,,,A
Gilli Perigo,SMS,152-58-5486,20,VQ1234,SQUADRONLRAFB,CYP,Cost Accountant,19-Feb-2022,14-Nov-2023,2M02S,17D,,,,,02-Jan-2020,915-432-1332,31-May-2004,10-Mar-2023,24-Feb-2023,13-Aug-2022,5 Ridge Oak Point,El Paso,Texas,0363-8130,Moreen Lecky,,,,12-Mar-2024,D,,,,A,23-Apr-2023,A,152-58-5486,01-May-2023,3C,785-699-8530,34,,,,,,,,,,,,,,,,,,,,,08-Nov-2024,V,A,27-Dec-2021,03-Oct-2022,,,,,,,A
Laverne Ruberti,SMS,123-12-2456,20,VQ1234,SQUADRONLRAFB,CYCM,Data Coordinator,07-Apr-2022,02-Apr-2021,2M02S,2M02S,,,,,18-Jan-2019,302-167-6555,05-Feb-2002,01-Aug-2023,03-Feb-2023,22-Feb-2044,4 Knutson Plaza,Wilmington,Delaware,31722-515,Hilary Poupard,,,,02-Sep-2024,S,,,,L,09-Dec-2022,A,123-12-2456,07-Feb-2023,1J,217-158-0353,48,,,,,,,,,,,,,,,MEDICAL,,A,APPROVED,,EFMP,07-Aug-2024,V,5R,13-Jan-2022,12-Jun-2022,,,,,,,A
Noella Pickring,MAJ,512-54-5483,10,VQ1234,SQUADRONLRAFB,CYCP,Web Developer III,20-Dec-2021,11-May-2021,2E274,17D,,,,,11-Jun-2019,406-335-7856,15-Feb-2008,08-Mar-2023,24-Jan-2023,22-Jun-2041,691 Forest Pass,Billings,Montana,65121-003,Damian Thorlby,,,,31-Oct-2024,D,,NM1234,,Y,10-Nov-2023,,123-12-2456,15-Oct-2023,1J,202-447-0210,38,,,,,,,,,,,,,,,,11-Jan-2024,,,Q,,02-Jan-2024,V,5R,27-Nov-2022,17-Aug-2022,,,,,,,A
